Specialty_Dist_Rep,Common_Grp_Id,Common_Grp_Desc,Common_Entity_Id,Common_Entity_Desc,Customer_No,Customer_Name,Active_Status,Primary_Secondary,Cmpny_Cd,Sales_Org,Dea_Number,Address,City,State,ZIP,Acc_340B_Id,Mpb_Account_Class_Desc,Mck_Account_Class_Desc
BENNETT CORLEY,21230,CHRISTUS,2062,CHRISTUS HEALTH LA,122,CHRISTUS SPEC PHY PHS MPB,Active,SECONDARY,8545,8000|8545,FC0264224,800 E DAWSON ST STE 100,TYLER,TX,75701,DSH450102,PHS,PHS/340B Acct
MARY BERRESFORD,72703,UNIV OF MIAMI FL,72703,UNIV OF MIAMI FL,69959,UNIV MIAMI SYLV PHS MPB,Active,SECONDARY,8545,8000|8545,FU9976741,5700 N FEDERAL HWY STE 5,FT LAUDERDALE,FL,33308,CAN100079-203,PHS,PHS/340B Acct
MARY BERRESFORD,180,UNIVERSITY OF ARKANSAS AR,180,UNIVERSITY OF ARKANSAS AR,70223,WALMART 4460/UARHSP   PHS,Active,SECONDARY,8545,8000|8545,FW0701979,12001 MAUMELLE BLVD,N LITTLE ROCK,AR,72113,DSH040016,PHS,PHS Contract Pharmacy
MARY BERRESFORD,180,UNIVERSITY OF ARKANSAS AR,180,UNIVERSITY OF ARKANSAS AR,70384,WALMART 5244/UARHSP   PHS,Active,SECONDARY,8545,8000|8545,BW8919916,19301 CANTRELL ROAD,LITTLE ROCK,AR,72223,DSH040016,PHS,PHS Contract Pharmacy
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,71161,DS UPMC MERCY PHY WAC A34,Active,SECONDARY,8545,8000|8545,FU0648850,1400 LOCUST STREET,PITTSBURGH,PA,15219,DSH390028,WAC,WAC Acct.
BENNETT CORLEY,40058,GEISINGER HEALTH,40058,GEISINGER HEALTH,71231,GEISINGER SP PHCY WB MPB,Active,SECONDARY,8545,8000|8545,FC4667804,25 CHURCH ST 4TH FLR,WILKES BARRE,PA,18766,0,GPO,GPO Acct.
MARY BERRESFORD,901,FROEDTERT MEM LUTHERAN HSP WI,901,FROEDTERT MEM LUTHERAN HSP WI,71335,CVS PHCY 17633/FMLHSP PHS,Active,SECONDARY,8545,8000|8545,FW5701378,12725 W BLUEMOUND RD,BROOKFIELD,WI,53005,DSH520177,PHS,PHS Contract Pharmacy
BENNETT CORLEY,73307,UNIV OF CALIF SAN FRANCISCO,73307,UNIV OF CALIF SAN FRANCISCO,71421,UCSF MZ WACA34 MPB,Active,SECONDARY,8545,8000|8545,BU7019614,"1600 DIVISADERO ST, # A002",SAN FRANCISCO,CA,94143,DSH050454AA,WAC,WAC Acct.
BENNETT CORLEY,73307,UNIV OF CALIF SAN FRANCISCO,73307,UNIV OF CALIF SAN FRANCISCO,71582,UCSF ML WAC A34 MPB,Active,SECONDARY,8545,8000|8545,BU7019626,505 PARNASSUS AVE # M39C,SAN FRANCISCO,CA,94143,DSH050454,WAC,WAC Acct.
KATY MCCASH,40414,OSF HEALTHCARE SYSTEM,40414,OSF HEALTHCARE SYSTEM,72151,OSF ST JAMES HOSPITAL MPB,Active,SECONDARY,8545,8000|8545,AS3761954,2500 W REYNOLDS ST,PONTIAC,IL,61764,0,GPO,GPO Acct.
MARY BERRESFORD,684,CITIZEN MEMORIAL HOSP MO,684,CITIZEN MEMORIAL HOSP MO,72193,CITIZENS MEM HOSP PHS MPB,Active,SECONDARY,8545,8000|8545,AC1768487,1500 N OAKLAND AVE,BOLIVAR,MO,65613,DSH260195,PHS,PHS/340B Acct
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,72226,KAISER PERM AB MPB,Active,SECONDARY,8545,8000|8545,FK0074536,43480 YUKON DRIVE STE 100,ASHBURN,VA,20147,0,GPO,GPO Acct.
MARY BERRESFORD,684,CITIZEN MEMORIAL HOSP MO,684,CITIZEN MEMORIAL HOSP MO,72240,CITIZENS MH WACA34 MPB,Active,SECONDARY,8545,8000|8545,AC1768487,1500 N OAKLAND AVE,BOLIVAR,MO,65613,DSH260195,WAC,WAC Acct.
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,72449,DS UPMC MCKEESPT WAC A34,Active,SECONDARY,8545,8000|8545,AM1698147,1500 FIFTH AVE,MCKEESPORT,PA,15132,DSH390002,WAC,WAC Acct.
BENNETT CORLEY,72134,CHCA - COLORADO CHILDRENS,72134,CHCA - COLORADO CHILDRENS,72661,ACRDO MEM/CHLD CO PHS MPB,Active,SECONDARY,8545,8000|8545,BA9451167,1620 CENTURY CENTER PKWY # 109,MEMPHIS,TN,38134,PED063301-00,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72134,CHCA - COLORADO CHILDRENS,72134,CHCA - COLORADO CHILDRENS,72662,ACRDO TMP/CHLD CO PHS MPB,Active,SECONDARY,8545,8000|8545,BA9437042,2040 W RIO SALADO PKWY STE 101B,TEMPE,AZ,85281,PED063301-00,PHS,PHS Contract Pharmacy
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,72712,UPMC SOMERSET IP WAC A34,Active,SECONDARY,8545,8000|8545,AS1702946,225 S. CENTER AVENUE,SOMERSET,PA,15501,DSH390039,WAC,WAC Acct.
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,72932,DS MAGEE WOMENS WAC A34,Active,SECONDARY,8545,8000|8545,AM1682170,300 HALKET STREET,PITTSBURGH,PA,15213,DSH390114,WAC,WAC Acct.
MARY BERRESFORD,40822,MOUNT SINAI HEALTH SYSTEM,40822,MOUNT SINAI HEALTH SYSTEM,73003,MT SINAI DNTWN US PHS MPB,Active,SECONDARY,8545,8000|8545,BB4708915,10 UNION SQUARE E STE 4B08,NEW YORK,NY,10003,DSH330169B,PHS,PHS Contract Pharmacy
KATY MCCASH,40414,OSF HEALTHCARE SYSTEM,40414,OSF HEALTHCARE SYSTEM,73126,OSF ST MARYS MC PHS MPB,Active,SECONDARY,8545,8000|8545,AS3589477,3333 N SEMINARY ST,GALESBURG,IL,61401,DSH140064,PHS,PHS/340B Acct
MARY BERRESFORD,40822,MOUNT SINAI HEALTH SYSTEM,40822,MOUNT SINAI HEALTH SYSTEM,73440,MT SINAI DNTWN WACA34 MPB,Active,SECONDARY,8545,8000|8545,BB4708915,10 UNION SQUARE EAST STE 4B08,NEW YORK,NY,10003,DSH330169B,WAC,WAC Acct.
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,73554,CAREMARK NJ SP/HHRCHS PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE,FAIRFIELD,NJ,7004,RRC330164-00,PHS,PHS Contract Pharmacy
BENNETT CORLEY,2223,COOK CHILDRENS MED CTR TX,2223,COOK CHILDRENS MED CTR TX,73562,ACCREDO WHT/CKCHLD MC PHS,Active,SECONDARY,8545,8000|8545,FA1057531,4750 E 450 S STE A,WHITESTOWN,IN,46075,PED453300-00,PHS,PHS Contract Pharmacy
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,73576,DS UPMC CHILDRENS WAC A34,Active,SECONDARY,8545,8000|8545,AC1694911,4401 PENN AVENUE,PITTSBURGH,PA,15224,DSH390114,WAC,WAC Acct.
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,73997,KAISER PERM MP MPB,Active,SECONDARY,8545,8000|8545,BK3209601,10701 ROSEMARY DRIVE,MANASSAS,VA,20109,0,GPO,GPO Acct.
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,74134,DS UPMC HAMOT PHS,Active,SECONDARY,8545,8000|8545,AH1702744,201 STATE STREET,ERIE,PA,16550,DSH390063,PHS,PHS/340B Acct
KATY MCCASH,1248,SKAGIT VALLEY HOSPITAL WA,1248,SKAGIT VALLEY HOSPITAL WA,74326,SKAGIT VALLEY HSP WAC A34,Active,SECONDARY,8545,8000|8545,AS1010800,1415 E KINCAID ST,MOUNT VERNON,WA,98274,DSH500003,WAC,WAC Acct.
MARY BERRESFORD,72330,HOLY FAMILY MEMORIAL,72330,HOLY FAMILY MEMORIAL,74818,HOLY FAMILY MEMORIAL MPB,Active,SECONDARY,8545,8000|8545,BH2829503,2300 WESTERN AVE,MANITOWOC,WI,54220,0,GPO,GPO Acct.
KATY MCCASH,1052,CURANT HEALTH INC FL,1052,CURANT HEALTH INC FL,74973,CURANT GA/UABSTD35294 PHS,Active,SECONDARY,8545,8000|8545,BH6977447,200 TECHNOLOGY CT SE #200,SMYRNA,GA,30082,STD35294,PHS,PHS Contract Pharmacy
KATY MCCASH,21373,TRINITY HEALTH,1203,MERCY HOSP CADILLAC MI,75387,MHC CADILLAC HOSP PHS MPB,Active,SECONDARY,8545,8000|8545,FM5035589,400 HOBART ST,CADILLAC,MI,49601,DSH230081,PHS,PHS/340B Acct
KATY MCCASH,21373,TRINITY HEALTH,1203,MERCY HOSP CADILLAC MI,75389,MHC CADILLAC H WACA34 MPB,Active,SECONDARY,8545,8000|8545,FM5035589,400 HOBART ST,CADILLAC,MI,49601,DSH230081,WAC,WAC Acct.
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,75422,DS HC PHCY CC LEMIEUX PHS,Active,SECONDARY,8545,8000|8545,FH5132422,5115 CENTER AVE RM 225,PITTSBURGH,PA,15232,DSH390114K,PHS,PHS/340B Acct
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,75583,DS HCPHCY HILL CC UPP PHS,Active,SECONDARY,8545,8000|8545,FH5132422,5115 CENTER AVE RM 225,PITTSBURGH,PA,15232,DSH390114H,PHS,PHS/340B Acct
MARY BERRESFORD,72020,ASPIRUS,72020,ASPIRUS,75792,ASPIRUS RHINELAN HOSP MPB,Active,SECONDARY,8545,8000|8545,BS8694033,2251 N SHORE DR STE 100,RHINELANDER,WI,54501,0,GPO,GPO Acct.
MARY BERRESFORD,72020,ASPIRUS,72020,ASPIRUS,75821,ASPIRUS STEV PT HOSP MPB,Active,SECONDARY,8545,8000|8545,AS4050883,900 ILLINOIS AVE,STEVENS POINT,WI,54481,0,GPO,GPO Acct.
BENNETT CORLEY,40263,UNIVERSITY HEALTH SYSTEM,40263,UNIVERSITY HEALTH SYSTEM,76006,UNIV HOSP PHS MPB,Active,SECONDARY,8545,8000|8545,AM1472579,4502 MEDICAL DR,SAN ANTONIO,TX,78229,DSH450213,PHS,PHS/340B Acct
BENNETT CORLEY,40263,UNIVERSITY HEALTH SYSTEM,40263,UNIVERSITY HEALTH SYSTEM,76007,UNIV HOSP WACA34 MPB,Active,SECONDARY,8545,8000|8545,AM1472579,4502 MEDICAL DR,SAN ANTONIO,TX,78229,DSH450213,WAC,WAC Acct.
BENNETT CORLEY,40263,UNIVERSITY HEALTH SYSTEM,40263,UNIVERSITY HEALTH SYSTEM,76008,UHS RBG CAMPUS PHS MPB,Active,SECONDARY,8545,8000|8545,AB1075236,903 W MARTIN ST,SAN ANTONIO,TX,78207,DSH450213,PHS,PHS/340B Acct
BENNETT CORLEY,40263,UNIVERSITY HEALTH SYSTEM,40263,UNIVERSITY HEALTH SYSTEM,76009,UHS RBG CAMPUS WACA34 MPB,Active,SECONDARY,8545,8000|8545,AB1075236,903 W MARTIN ST,SAN ANTONIO,TX,78207,DSH450213,WAC,WAC Acct.
MARY BERRESFORD,1205,UNIV OF MIAMI HOSP FL,1205,UNIV OF MIAMI HOSP FL,76014,WALG 13072/UMIAMI PHS MPB,Active,SECONDARY,8545,8000|8545,FW1178006,8333 N DAVIS HWY STE 50,PENSACOLA,FL,32514,CAN100079-00,PHS,PHS Contract Pharmacy
MARY BERRESFORD,815,SANFORD MED CENTER SD (PHS),815,SANFORD MED CENTER SD (PHS),76078,HUGOS FM PCY CRO/SMCF PHS,Active,SECONDARY,8545,8000|8545,BH9203908,1310 UNIVERSITY AVENUE,CROOKSTON,MN,56716,DSH350011,PHS,PHS Contract Pharmacy
MARY BERRESFORD,2133,UNIV OF MISSISSIPPI MED CTR,2133,UNIV OF MISSISSIPPI MED CTR,76431,OPTUM701 MI/UNV MS MC PHS,Active,SECONDARY,8545,8000|8545,FO0957867,4100 S SAGINAW,FLINT,MI,48507,DSH250001,PHS,PHS Contract Pharmacy
MARY BERRESFORD,2133,UNIV OF MISSISSIPPI MED CTR,2133,UNIV OF MISSISSIPPI MED CTR,76433,OPTUM705 MS/UNV MS MC PHS,Active,SECONDARY,8545,8000|8545,BM8546989,3539 BLUECUTT RD,COLUMBUS,MS,39705,DSH250001,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1066,MERCY HEALTH ST MARYS MI,1066,MERCY HEALTH ST MARYS MI,76491,CAREMARK MA SP/MRCYMC PHS,Active,SECONDARY,8545,8000|8545,BC9420491,25 BIRCH ST BLDG B STE100,MILFORD,MA,1757,DSH220066,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1066,MERCY HEALTH ST MARYS MI,1066,MERCY HEALTH ST MARYS MI,76492,CAREMARK NJ SP/MRCYMC PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE,FAIRFIELD,NJ,7004,DSH220066,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1066,MERCY HEALTH ST MARYS MI,1066,MERCY HEALTH ST MARYS MI,76496,CAREMARK IL SP/MRCYMC PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMANN CT STE B,MOUNT PROSPECT,IL,60056,DSH220066,PHS,PHS Contract Pharmacy
BENNETT CORLEY,372,UNIV OF MICHIGAN,372,UNIV OF MICHIGAN,76605,CAREMARK TX SP/UNV MI PHS,Active,SECONDARY,8545,8000|8545,FC6963157,1001 SPINKS ROAD STE 280,FLOWER MOUND,TX,75028,DSH230046,PHS,PHS Contract Pharmacy
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,76832,KAISER MOB2 OP 1FL PY MPB,Active,SECONDARY,8545,8000|8545,FK1142621,1600 EUREKA RD MOB 2 FL 1,ROSEVILLE,CA,95661,0,GPO,GPO Acct.
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,76994,CAREMARK CA SP/STPTRC PHS,Active,SECONDARY,8545,8000|8545,BC3683580,1127 BRYN MAWR AVE STE A,REDLANDS,CA,92374,DSH270014,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,77006,CAREMARK IL SP/STPTRC PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMANN CT STE B,MOUNT PROSPECT,IL,60056,DSH270014,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,77012,CAREMARK TX SP/STPTRC PHS,Active,SECONDARY,8545,8000|8545,FC6963157,1001 SPINKS ROAD STE 280,FLOWER MOUND,TX,75028,DSH270014,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72952,PROVIDENCE HOSP NW,72954,PROVIDENCE HLTH SYS WA,77028,CAREMARK NV SP/STPTRC PHS,Active,SECONDARY,8545,8000|8545,FC8994089,7251 SOUTH EASTERN AVE,LAS VEGAS,NV,89119,DSH270014,PHS,PHS Contract Pharmacy
BENNETT CORLEY,72706,UNIVERSITY HOSP SUNY,72706,UNIVERSITY HOSP SUNY,77154,UNIV HOSP PHRMCY MPB,Active,SECONDARY,8545,8000|8545,AS0552489,750 EAST ADAMS STREET,SYRACUSE,NY,13210,0,GPO,GPO Acct.
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,78442,KAISER PERM WMM MPB,Active,SECONDARY,8545,8000|8545,BK2960400,4920 CAMPBELL BLVD,BALTIMORE,MD,21236,0,GPO,GPO Acct.
KATY MCCASH,2561,HONOR HEALTH AZ,2561,HONOR HEALTH AZ,78646,WALG 16431/JCL MC PHS MPB,Active,SECONDARY,8545,8000|8545,FW5927225,2302 N CENTRAL AVE STE 7,PHOENIX,AZ,85004,DSH030014,PHS,PHS Contract Pharmacy
KATY MCCASH,21211,BARNABAS HEALTH NJ,21211,BARNABAS HEALTH NJ,78711,RWJU HOSP SOMERSET MPB,Active,SECONDARY,8545,8000|8545,FR4522822,110 REHILL AVE,SOMERVILLE,NJ,8876,0,GPO,GPO Acct.
KATY MCCASH,1928,JACKSON HEALTH SYSTEM FL,1928,JACKSON HEALTH SYSTEM FL,78769,JACKSON PHCY SOL PHS MPB,Active,SECONDARY,8545,8000|8545,FP1294999,901 NW 17TH ST STE O,MIAMI,FL,33136,DSH100022,PHS,PHS/340B Acct
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,79250,KAISER MAUI MMC PHS MPB,Active,SECONDARY,8545,8000|8545,FM6342783,221 MAHALANI ST,WAILUKU,HI,96793,DSH120002,PHS,PHS/340B Acct
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,79254,KAISER MAUIMMC WACA34 MPB,Active,SECONDARY,8545,8000|8545,FM6342783,221 MAHALANI ST,WAILUKU,HI,96793,DSH120002,WAC,WAC Acct.
KATY MCCASH,40025,APPALACHIAN NORTON,2932,APPALACHIAN REG HLTH KY,80339,ARH SUMMERS COUNTY PHCY,Active,SECONDARY,8545,8000|8545,FA1563611,115 SUMMERS HOSPITAL RD,HINTON,WV,25951,0,GPO,GPO Acct.
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,80652,KASIER PERM TPI MPB,Active,SECONDARY,8545,8000|8545,,750 TOWNPARK LANE,KENNESAW,GA,30144,0,GPO,GPO Acct.
KATY MCCASH,40055,BAPTIST HEALTH SOUTH FLORIDA,40055,BAPTIST HEALTH SOUTH FLORIDA,80668,BH INF CTR W KNDL PHS MPB,Active,SECONDARY,8545,8000|8545,,13001 N KENDALL DR STE 300,MIAMI,FL,33186,DSH100008,PHS,PHS/340B Acct
BENNETT CORLEY,40018,NORTHWELL HEALTH,40019,NORTHWELL HEALTH,80934,LENOX HILL HOSP PHS MPB,Active,SECONDARY,8545,8000|8545,AL4088604,100 EAST 77TH STREET,NEW YORK,NY,10075,DSH330119,PHS,PHS/340B Acct
BENNETT CORLEY,40018,NORTHWELL HEALTH,40019,NORTHWELL HEALTH,80941,LENOX HILL HSP WACA34 MPB,Active,SECONDARY,8545,8000|8545,AL4088604,100 EAST 77TH STREET,NEW YORK,NY,10075,DSH330119,WAC,WAC Acct.
BENNETT CORLEY,40018,NORTHWELL HEALTH,40019,NORTHWELL HEALTH,80971,LONG IJMC WACA34 MPB,Active,SECONDARY,8545,8000|8545,AL4849622,270-05 76TH AVE,NEW HYDE PARK,NY,11040,DSH330195,WAC,WAC Acct.
MARY BERRESFORD,448,ST BERNARDS JONESBORO AR,448,ST BERNARDS JONESBORO AR,81064,ANOVORX2/ST BERNARD PHS,Active,SECONDARY,8545,8000|8545,FA7625619,406 E WASHINGTON AVE,JONESBORO,AR,72401,DSH040020,PHS,PHS Contract Pharmacy
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,81618,KAISER ONC PCY 168 MPB,Active,SECONDARY,8545,8000|8545,,39400 PASEO PADRE PKWY 2FL,FREMONT,CA,94538,0,GPO,GPO Acct.
KATY MCCASH,40025,APPALACHIAN NORTON,2932,APPALACHIAN REG HLTH KY,81769,ARH SPECIALTY PHCY PHS,Active,SECONDARY,8545,8000|8545,FA7706572,200 MEDICAL CENTER DR STE A,HAZARD,KY,41701,DSH180029,PHS,PHS/340B Acct
KATY MCCASH,40260,HC PHARMACY,40260,HC PHARMACY,81841,DS UNIVERSITY PHARMACY,Active,SECONDARY,8545,8000|8545,AP7863853,103 UNIVERSITY PLACE,PITTSBURGH,PA,15213,0,GPO,GPO Acct.
KATY MCCASH,40025,APPALACHIAN NORTON,2932,APPALACHIAN REG HLTH KY,81930,HGHLND ARH MED CTR PHS,Active,SECONDARY,8545,8000|8545,FH8634520,5000 KY ROUTE 321,PRESTONSBURG,KY,41653,DSH180005,PHS,PHS/340B Acct
BENNETT CORLEY,72480,MD ISSUE,72506,TEXAS CHILDRENS HOSP,82025,TEXAS CHILDRENS WEST MPB,Active,SECONDARY,8545,8000|8545,FT2426624,18200 KATY FREEWAY,HOUSTON,TX,77094,0,GPO,GPO Acct.
BENNETT CORLEY,1547,THOMAS JEFFERSON UNIV HOSP PA,1547,THOMAS JEFFERSON UNIV HOSP PA,82264,CAREPLUS CVS2553/EMCM PHS,Active,SECONDARY,8545,8000|8545,BC6625149,1117 WALNUT ST,PHILADELPHIA,PA,19107,DSH390329,PHS,PHS Contract Pharmacy
KATY MCCASH,1645,LOYOLA UNIV MED CTR IL,1645,LOYOLA UNIV MED CTR IL,82296,ACCREDO WHT/LOYOLA U  PHS,Active,SECONDARY,8545,8000|8545,FA1057531,4750 E 450 S STE A,WHITESTOWN,IN,46075,DSH140276,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1357,KANSAS UNIVERSITY HOSPITAL KS,1357,KANSAS UNIVERSITY HOSPITAL KS,82428,ACCREDO WHT/UNVKS HSP PHS,Active,SECONDARY,8545,8000|8545,FA1057531,4750 E 450 S STE A,WHITESTOWN,IN,46075,DSH170040,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1357,KANSAS UNIVERSITY HOSPITAL KS,1357,KANSAS UNIVERSITY HOSPITAL KS,82429,OPTUMRX801 AZ/UNIV KS PHS,Active,SECONDARY,8545,8000|8545,FA7972765,24416 N 19TH AVE STE 100,PHOENIX,AZ,85085,DSH170040,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1357,KANSAS UNIVERSITY HOSPITAL KS,1357,KANSAS UNIVERSITY HOSPITAL KS,82432,OPTUMRX705 AL/UNIV KS PHS,Active,SECONDARY,8545,8000|8545,BM8283373,1100 LEE BRANCH LN,BIRMINGHAM,AL,35242,DSH170040,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1357,KANSAS UNIVERSITY HOSPITAL KS,1357,KANSAS UNIVERSITY HOSPITAL KS,82434,OPTUMRX700 FL/UNIV KS PHS,Active,SECONDARY,8545,8000|8545,FB8798401,5700 DOT COM CT STE 1000,OVIEDO,FL,32765,DSH170040,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1357,KANSAS UNIVERSITY HOSPITAL KS,1357,KANSAS UNIVERSITY HOSPITAL KS,82436,OPTUMRX705 TN/UNIV KS PHS,Active,SECONDARY,8545,8000|8545,BM8308341,1893 GEN GEORGE PATTON #106,FRANKLIN,TN,37067,DSH170040,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1730,ERLANGER MEDICAL CENTER TN,1730,ERLANGER MEDICAL CENTER TN,82454,ACCREDO WRN/ERLANGER  PHS,Active,SECONDARY,8545,8000|8545,BA9505554,3000 ERICSSON DR STE 100,WARRENDALE,PA,15086,DSH440104,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1730,ERLANGER MEDICAL CENTER TN,1730,ERLANGER MEDICAL CENTER TN,82456,ACCREDO TMP/ERLANGER  PHS,Active,SECONDARY,8545,8000|8545,BA9437042,2040 W RIO SALADO #101B,TEMPE,AZ,85281,DSH440104,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1730,ERLANGER MEDICAL CENTER TN,1730,ERLANGER MEDICAL CENTER TN,82457,ACCREDO NCS/ERLANGER  PHS,Active,SECONDARY,8545,8000|8545,FA5306128,2 BOULDEN CIRCLE #1,NEW CASTLE,DE,19720,DSH440104,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1730,ERLANGER MEDICAL CENTER TN,1730,ERLANGER MEDICAL CENTER TN,82462,ACCREDO ORL/ERLANGER  PHS,Active,SECONDARY,8545,8000|8545,FA4214576,6272 LEE VISTA BLVD #100,ORLANDO,FL,32822,DSH440104,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1730,ERLANGER MEDICAL CENTER TN,1730,ERLANGER MEDICAL CENTER TN,82464,ACCREDO MEM/ERLANGER  PHS,Active,SECONDARY,8545,8000|8545,BA9451167,1620 CENTURY CTR PKWY 109,MEMPHIS,TN,38134,DSH440104,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1730,ERLANGER MEDICAL CENTER TN,1730,ERLANGER MEDICAL CENTER TN,82470,MAXOR LUBBOCK/ERLANGR PHS,Active,SECONDARY,8545,8000|8545,BM4847856,6101 43RD ST STE C,LUBBOCK,TX,79407,DSH440104,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1730,ERLANGER MEDICAL CENTER TN,1730,ERLANGER MEDICAL CENTER TN,82474,MAXOR BOGART/ERLANGER PHS,Active,SECONDARY,8545,8000|8545,FP6697520,150 CLEVELAND RD STE B,BOGART,GA,30622,DSH440104,PHS,PHS Contract Pharmacy
MARY BERRESFORD,72254,GUNDERSEN CLNC,72254,GUNDERSEN CLNC,82600,GUNDERSON LUTH PHS MPB,Active,SECONDARY,8545,8000|8545,BG8514324,724 DENTON ST,LA CROSSE,WI,54601,DSH520087K,PHS,PHS/340B Acct
MARY BERRESFORD,1730,ERLANGER MEDICAL CENTER TN,1730,ERLANGER MEDICAL CENTER TN,82681,OPTUMRX705 TN/ERLANGR PHS,Active,SECONDARY,8545,8000|8545,BM8308341,1893 GEN GRGE PATTON #106,FRANKLIN,TN,37067,DSH440104,PHS,PHS Contract Pharmacy
MARY BERRESFORD,1730,ERLANGER MEDICAL CENTER TN,1730,ERLANGER MEDICAL CENTER TN,82684,OPTUMRX702 IN/ERLANGR PHS,Active,SECONDARY,8545,8000|8545,FB4247943,1050 PATROL RD,JEFFERSONVILLE,IN,47130,DSH440104,PHS,PHS Contract Pharmacy
MARY BERRESFORD,901,FROEDTERT MEM LUTHERAN HSP WI,901,FROEDTERT MEM LUTHERAN HSP WI,82910,ACCREDO WHT/FRDTRT ML PHS,Active,SECONDARY,8545,8000|8545,FA1057531,4750 E 450 S STE A,WHITESTOWN,IN,46075,DSH520177,PHS,PHS Contract Pharmacy
MARY BERRESFORD,72254,GUNDERSEN CLNC,72254,GUNDERSEN CLNC,82922,GUNDERSON L WAC A34 MPB,Active,SECONDARY,8545,8000|8545,BG8514324,724 DENTON STREET,LA CROSSE,WI,54601,DSH520087K,WAC,WAC Acct.
MARY BERRESFORD,901,FROEDTERT MEM LUTHERAN HSP WI,901,FROEDTERT MEM LUTHERAN HSP WI,82926,OPTUMRX700 FL/FML HSP PHS,Active,SECONDARY,8545,8000|8545,FB8798401,5700 DOT COM COURT #1000,OVIEDO,FL,32765,DSH520177,PHS,PHS Contract Pharmacy
KATY MCCASH,35000,KAISER PERMANENTE CA,35000,KAISER PERMANENTE CA,83090,KAISER HLTH N OP PHY MPB,Active,SECONDARY,8545,8000|8545,AK2130273,260 INTERNATIONAL CIRCLE,SAN JOSE,CA,95119,0,GPO,GPO Acct.
MARY BERRESFORD,901,FROEDTERT MEM LUTHERAN HSP WI,901,FROEDTERT MEM LUTHERAN HSP WI,83146,OPTUMRX702 IN/FRDTERT PHS,Active,SECONDARY,8545,8000|8545,FB4247943,1050 PATROL RD,JEFFERSONVILLE,IN,47130,DSH520177,PHS,PHS Contract Pharmacy
MARY BERRESFORD,901,FROEDTERT MEM LUTHERAN HSP WI,901,FROEDTERT MEM LUTHERAN HSP WI,83152,OPTUMRX705 AL/FRDTERT PHS,Active,SECONDARY,8545,8000|8545,BM8283373,1100 LEE BRANCH LN,BIRMINGHAM,AL,35242,DSH520177,PHS,PHS Contract Pharmacy
MARY BERRESFORD,815,SANFORD MED CENTER SD (PHS),815,SANFORD MED CENTER SD (PHS),83464,WALG 15443/SANFRD USD PHS,Active,SECONDARY,8545,8000|8545,BI9716587,10530 JOHN W ELLIOTT #100,FRISCO,TX,75033,DSH430027,PHS,PHS Contract Pharmacy
